230 373
439 423
207 356
414 297
238 166
391 267
195 281
326 341
191 477
286 298
212 250
348 375
218 189
311 192
233 396
391 328
249 256
326 374
331 146
384 317
232 137
339 307
276 194
454 139
212 298
379 241
99 173
407 234
192 461
371 262
284 344
464 237
170 408
393 148
305 112
374 272
214 398
368 69
299 374
366 208
219 408
390 205
328 257
370 240
328 381
336 427
252 349
430 349
210 149
423 280
143 339
320 394
194 303
340 407
153 431
348 243
237 398
375 295
219 324
414 234
236 365
336 231
179 293
401 377
296 365
397 201
226 294
341 299
192 342
389 303
155 90
373 339
227 359
401 272
264 253
353 277
271 221
388 51
186 242
343 303
271 168
408 197
222 347
368 264
237 415
331 192
221 158
424 349
148 255
401 220
224 234
317 222
166 253
430 280
182 381
336 229
167 101
363 347
168 296
343 198
242 305
401 261
198 205
366 332
185 284
386 305
187 252
439 227
266 448
371 347
186 234
337 252
155 121
437 463
248 260
372 202
245 509
332 476
203 73
347 300
226 477
324 233
294 312
292 223
266 236
325 412
214 210
368 196
