247	7	127	487	407	67	572	427
7	127	172	517	407	157	317	412
262	247	262	397	467	142	437	427
37	112	142	307	347	232	437	337
97	262	22	322	437	187	407	562
187	187	67	577	557	187	317	457
7	67	7	307	422	52	497	472
217	37	127	472	302	22	302	517
142	247	22	352	482	187	512	547
112	217	232	487	542	217	362	322
22	187	97	412	482	97	302	397
217	37	232	337	542	247	467	487
217	277	142	367	512	187	392	367
247	127	22	532	587	52	542	337
82	112	202	577	437	157	452	562
97	232	247	487	587	127	557	352
157	247	52	502	452	52	347	487
247	277	172	367	587	142	572	382
67	277	232	337	572	37	287	502
187	7	157	412	452	262	407	427
232	82	22	307	557	52	287	352
52	82	22	307	422	22	572	337
67	142	247	352	392	67	512	577
7	97	37	532	452	52	587	337
112	7	202	322	437	97	422	307
37	187	262	547	332	262	482	397
142	157	217	322	452	187	362	427
187	52	7	322	317	187	302	382
232	262	202	427	407	142	287	487
22	142	172	442	317	247	572	577
262	97	112	547	587	22	542	442
157	187	67	382	347	172	482	322
